gene name,description,gene id,protein id,number of domains,domains[count],paralogous family ID,members of paralogous family ,representative family member,"paralog [ % identity representative member:paralog , % identity paralog: representative member]",consensus RNA target,putative RNA target,supporting evidence (# pubmed ID),category in Baltz et al.,category in Castello et al.,found in both human mass spec,human cell lines mass spec,category in Kwon et al. mouse mESC,Toronto RBPDB,GO RNA related category,GO RNA related category description,GO general category,GO general category description,OMIM
DUS1L,dihydrouridine synthase 1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:30086],ENSG00000169718,ENSP00000445110,1,Dus[1],family-976,DUS1L,.,.,tRNA,putative tRNA,by homology,.,.,.,.,.,.,"GO:0017150,GO:0008033","tRNA dihydrouridine synthase activity,tRNA processing","GO:0050660,GO:0017150,GO:0055114,GO:0008033","flavin adenine dinucleotide binding,tRNA dihydrouridine synthase activity,oxidation-reduction process,tRNA processing",.
DUS2,"dihydrouridine synthase 2-like, SMM1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26014]",ENSG00000167264,ENSP00000409498,2,"dsrm[1],Dus[1]",family-59,DUS2,.,.,tRNA,tRNA,"This gene encodes a cytoplasmic protein that catalyzes the conversion of uridine residues to dihydrouridine in the D-loop of tRNA. The resulting modified bases confer enhanced regional flexibility to tRNA. The encoded protein may increase the rate of translation by inhibiting an interferon-induced protein kinase. This gene has been implicated in pulmonary carcinogenesis. Alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Nov 2012]",.,.,.,.,.,.,"GO:0017150,GO:0008033,GO:0003725","tRNA dihydrouridine synthase activity,tRNA processing,double-stranded RNA binding","GO:0050660,GO:0017150,GO:0005739,GO:0055114,GO:0008033,GO:0005737,GO:0005515,GO:0003725,GO:0004860,GO:0005783,GO:0006469,GO:0060548","flavin adenine dinucleotide binding,tRNA dihydrouridine synthase activity,mitochondrion,oxidation-reduction process,tRNA processing,cytoplasm,protein binding,double-stranded RNA binding,protein kinase inhibitor activity,endoplasmic reticulum,negative regulation of protein kinase activity,negative regulation of cell death",.
DUS3L,dihydrouridine synthase 3-like (S. cerevisiae) [Source:HGNC Symbol;Acc:26920],ENSG00000141994,ENSP00000311977,2,"Dus[1],zf-CCCH[1]",family-140,DUS3L,.,.,tRNA,putative tRNA,by homology,candidate mRNA binder,.,.,1,.,1,"GO:0017150,GO:0008033","tRNA dihydrouridine synthase activity,tRNA processing","GO:0050660,GO:0017150,GO:0055114,GO:0008033,GO:0046872","flavin adenine dinucleotide binding,tRNA dihydrouridine synthase activity,oxidation-reduction process,tRNA processing,metal ion binding",.
DUS4L,dihydrouridine synthase 4-like (S. cerevisiae) [Source:HGNC Symbol;Acc:21517],ENSG00000105865,ENSP00000265720,1,Dus[1],family-295,DUS4L,.,.,tRNA,putative tRNA,by homology,.,.,.,.,.,.,"GO:0017150,GO:0008033","tRNA dihydrouridine synthase activity,tRNA processing","GO:0016491,GO:0050660,GO:0010181,GO:0017150,GO:0055114,GO:0008033,GO:0000105","oxidoreductase activity,flavin adenine dinucleotide binding,FMN binding,tRNA dihydrouridine synthase activity,oxidation-reduction process,tRNA processing,histidine biosynthetic process",.
DUSP11,dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) [Source:HGNC Symbol;Acc:3066],ENSG00000144048,ENSP00000272444,1,DSPc[1],family-933,"DUSP11,RNGTT",DUSP11,"RNGTT[22,14]",mRNA,putative mRNA,"This gene product is localized to the nucleus and binds directly to RNA and splicing factors, and thus it is suggested to participate in nuclear mRNA metabolism. [provided by RefSeq, Sep 2008]",RNAbinding,RNAbinding,1,1,.,.,"GO:0003723,GO:0006396","RNA binding,RNA processing","GO:0004725,GO:0008138,GO:0016791,GO:0006470,GO:0016311,GO:0003723,GO:0005634,GO:0006396,GO:0035335","protein tyrosine phosphatase activity,protein tyrosine/serine/threonine phosphatase activity,phosphatase activity,protein dephosphorylation,dephosphorylation,RNA binding,nucleus,RNA processing,peptidyl-tyrosine dephosphorylation",.
DXO,dom-3 homolog Z (C. elegans) [Source:HGNC Symbol;Acc:2992],ENSG00000236765,ENSP00000391123,1,RAI1[1],family-646,DXO,.,.,diverse,diverse,RAI1; DOM3L; DOM3Z,.,.,.,.,.,.,"GO:0003729,GO:0008409,GO:0034353,GO:0006402,GO:0050779,GO:0071028","mRNA binding,5'-3' exonuclease activity,RNA pyrophosphohydrolase activity,mRNA catabolic process,RNA destabilization,nuclear mRNA surveillance","GO:0000166,GO:0000287,GO:0003729,GO:0008409,GO:0034353,GO:0005634,GO:0008152,GO:0006402,GO:0050779,GO:0071028,GO:0090305","nucleotide binding,magnesium ion binding,mRNA binding,5'-3' exonuclease activity,RNA pyrophosphohydrolase activity,nucleus,metabolic process,mRNA catabolic process,RNA destabilization,nuclear mRNA surveillance,nucleic acid phosphodiester bond hydrolysis",.
DYNC1H1,"dynein, cytoplasmic 1, heavy chain 1 [Source:HGNC Symbol;Acc:2961]",ENSG00000197102,ENSP00000348965,9,"Dynein_heavy[1],AAA_9[1],DHC_N1[1],DHC_N2[1],MT[1],AAA_6[1],AAA_5[1],AAA_7[1],AAA_8[1]",family-444,"DNAH1,DNAH17,DNAH9,DYNC1H1,DNAH11,DYNC2H1,DNAH8,DNAH10,DNAH5,DNAH3,DNAH7,DNAH2,DNAH6",DNAH1,"DNAH17[29,28],DNAH9[29,28],DYNC1H1[23,21],DNAH11[29,27],DYNC2H1[22,22],DNAH8[29,27],DNAH10[29,28],DNAH5[29,26],DNAH3[39,40],DNAH7[40,43],DNAH2[34,33],DNAH6[36,36]",mRNA,putative mRNA,"22658674, 22681889",candidate mRNA binder,novel,1,1,.,.,GO:0033962,cytoplasmic mRNA processing body assembly,"GO:0005515,GO:0000166,GO:0005524,GO:0016887,GO:0017111,GO:0042623,GO:0003777,GO:0005737,GO:0005829,GO:0005794,GO:0005874,GO:0005813,GO:0070062,GO:0005868,GO:0030286,GO:0034063,GO:0033962,GO:0000278,GO:0006810,GO:0000086,GO:0007018,GO:0008219,GO:0019886,GO:0007052","protein binding,nucleotide binding,ATP binding,ATPase activity,nucleoside-triphosphatase activity,ATPase activity, coupled,microtubule motor activity,cytoplasm,cytosol,Golgi apparatus,microtubule,centrosome,extracellular vesicular exosome,cytoplasmic dynein complex,dynein complex,stress granule assembly,cytoplasmic mRNA processing body assembly,mitotic cell cycle,transport,G2/M transition of mitotic cell cycle,microtubule-based movement,cell death,antigen processing and presentation of exogenous peptide antigen via MHC class II,mitotic spindle organization"," SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 1, AUTOSOMAL"
DYNLL1,"dynein, light chain, LC8-type 1 [Source:HGNC Symbol;Acc:15476]",ENSG00000088986,ENSP00000376297,1,Dynein_light[1],family-1110,"DNAL4,DYNLL2,DYNLL1",DNAL4,"DYNLL2[27,31],DYNLL1[29,34]",mRNA,mRNA,10683380,.,.,.,.,.,.,.,.,"GO:0042803,GO:0019904,GO:0019899,GO:0008022,GO:0030235,GO:0016020,GO:0005829,GO:0005875,GO:0007017,GO:0005515,GO:0003774,GO:0005634,GO:0005886,GO:0005737,GO:0005739,GO:0005874,GO:0008180,GO:0005813,GO:0000776,GO:0072686,GO:0005868,GO:0006351,GO:0006915,GO:0006355,GO:0000278,GO:0006810,GO:0030036,GO:0000086,GO:0097193,GO:0007292,GO:0042326,GO:0019886,GO:0019048,GO:0009653,GO:1900740,GO:0005856","protein homodimerization activity,protein domain specific binding,enzyme binding,protein C-terminus binding,nitric-oxide synthase regulator activity,membrane,cytosol,microtubule associated complex,microtubule-based process,protein binding,motor activity,nucleus,plasma membrane,cytoplasm,mitochondrion,microtubule,COP9 signalosome,centrosome,kinetochore,mitotic spindle,cytoplasmic dynein complex,transcription, DNA-templated,apoptotic process,regulation of transcription, DNA-dependent,mitotic cell cycle,transport,actin cytoskeleton organization,G2/M transition of mitotic cell cycle,intrinsic apoptotic signaling pathway,female gamete generation,negative regulation of phosphorylation,antigen processing and presentation of exogenous peptide antigen via MHC class II,modulation by virus of host morphology or physiology,anatomical structure morphogenesis,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,cytoskeleton",.
DZIP1,DAZ interacting protein 1 [Source:HGNC Symbol;Acc:20908],ENSG00000134874,ENSP00000257312,2,"Dzip-like_N[1],zf-C2H2[1]",family-1102,"DZIP1,DZIP1L",DZIP1,"DZIP1L[26,30]",mRNA,mRNA,12511597,.,.,.,.,.,.,.,.,"GO:0005515,GO:0046872,GO:0005634,GO:0036064,GO:0005737,GO:0005814,GO:0043234,GO:0042384,GO:0007275,GO:0007283,GO:0007281","protein binding,metal ion binding,nucleus,ciliary basal body,cytoplasm,centriole,protein complex,cilium assembly,multicellular organismal development,spermatogenesis,germ cell development",.
DZIP1L,DAZ interacting zinc finger protein 1-like [Source:HGNC Symbol;Acc:26551],ENSG00000158163,ENSP00000332148,1,Dzip-like_N[1],family-1102,"DZIP1,DZIP1L",DZIP1,"DZIP1L[26,30]",mRNA,putative mRNA,by homology,.,.,.,.,.,.,.,.,"GO:0046872,GO:0036064,GO:0005814,GO:0042384","metal ion binding,ciliary basal body,centriole,cilium assembly",.
DZIP3,"DAZ interacting protein 3, zinc finger [Source:HGNC Symbol;Acc:30938]",ENSG00000198919,ENSP00000355028,1,zf-RING_2[1],family-836,DZIP3,.,.,mRNA,mRNA,12538761,.,RNAbinding,.,1,.,.,GO:0003723,RNA binding,"GO:0003723,GO:0005515,GO:0008270,GO:0046872,GO:0004842,GO:0019902,GO:0031593,GO:0005737,GO:0000209","RNA binding,protein binding,zinc ion binding,metal ion binding,ubiquitin-protein ligase activity,phosphatase binding,polyubiquitin binding,cytoplasm,protein polyubiquitination",.
EARS2,"glutamyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:29419]",ENSG00000103356,ENSP00000456467,1,tRNA-synt_1c[1],family-285,EARS2,.,.,tRNA,tRNA,established RBP ,.,.,.,.,.,.,"GO:0000049,GO:0016876,GO:0004818,GO:0050561,GO:0006418,GO:0043039,GO:0006424,GO:0070127","tRNA binding,ligase activity, forming aminoacyl-tRNA and related compounds,glutamate-tRNA ligase activity,glutamate-tRNA(Gln) ligase activity,tRNA aminoacylation for protein translation,tRNA aminoacylation,glutamyl-tRNA aminoacylation,tRNA aminoacylation for mitochondrial protein translation","GO:0000166,GO:0005524,GO:0000049,GO:0016876,GO:0004818,GO:0050561,GO:0005739,GO:0005737,GO:0005759,GO:0010467,GO:0006418,GO:0043039,GO:0006424,GO:0070127","nucleotide binding,ATP binding,tRNA binding,ligase activity, forming aminoacyl-tRNA and related compounds,glutamate-tRNA ligase activity,glutamate-tRNA(Gln) ligase activity,mitochondrion,cytoplasm,mitochondrial matrix,gene expression,tRNA aminoacylation for protein translation,tRNA aminoacylation,glutamyl-tRNA aminoacylation,tRNA aminoacylation for mitochondrial protein translation", COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 12; COXPD12
EBNA1BP2,EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:15531],ENSG00000117395,ENSP00000236051,1,Ebp2[1],family-937,EBNA1BP2,.,.,rRNA,rRNA,19170763,candidate mRNA binder,novel,1,1,1,.,GO:0042254,ribosome biogenesis,"GO:0005634,GO:0016020,GO:0005730,GO:0042254","nucleus,membrane,nucleolus,ribosome biogenesis",.
EDC3,enhancer of mRNA decapping 3 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26114],ENSG00000179151,ENSP00000455580,2,"LSM14[1],YjeF_N[1]",family-157,EDC3,.,.,mRNA,mRNA,established RBP ,.,.,.,.,.,.,"GO:0003723,GO:0000932,GO:0016070,GO:0016071,GO:0000288,GO:0043928","RNA binding,cytoplasmic mRNA processing body,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay","GO:0003723,GO:0005515,GO:0042802,GO:0005829,GO:0000932,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0043928","RNA binding,protein binding,identical protein binding,cytosol,cytoplasmic mRNA processing body,gene expression,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay",.
EDC4,enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:17157],ENSG00000038358,ENSP00000351811,1,WD40[1],family-787,EDC4,.,.,mRNA,mRNA,established RBP ,.,.,.,.,.,.,"GO:0000932,GO:0016070,GO:0016071,GO:0000288,GO:0043928","cytoplasmic mRNA processing body,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay","GO:0005515,GO:0005634,GO:0005737,GO:0005829,GO:0000932,GO:0043231,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0043928","protein binding,nucleus,cytoplasm,cytosol,cytoplasmic mRNA processing body,intracellular membrane-bounded organelle,gene expression,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay",.
EED,embryonic ectoderm development [Source:HGNC Symbol;Acc:3188],ENSG00000074266,ENSP00000263360,1,WD40[1],family-87,EED,.,.,ncRNA,lincRNA,24320048,.,.,.,.,1,.,.,.,"GO:0005515,GO:0003682,GO:0035098,GO:0045120,GO:0001739,GO:0061087,GO:0006349,GO:0016571,GO:0042802,GO:0042054,GO:0005634,GO:0006351,GO:0045892","protein binding,chromatin binding,ESC/E(Z) complex,pronucleus,sex chromatin,positive regulation of histone H3-K27 methylation,regulation of gene expression by genetic imprinting,histone methylation,identical protein binding,histone methyltransferase activity,nucleus,transcription, DNA-templated,negative regulation of transcription, DNA-dependent",.
EEF1A1,eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:3189],ENSG00000156508,ENSP00000339053,3,"GTP_EFTU_D2[1],GTP_EFTU_D3[1],GTP_EFTU[1]",family-61,"EEF1A1,EEF1A2",EEF1A1,"EEF1A2[93,92]",tRNA,tRNA/mRNA,12354112,translationfactor,novel,1,1,1,.,"GO:0003746,GO:0005853,GO:0006412,GO:0006414","translation elongation factor activity,eukaryotic translation elongation factor 1 complex,translation,translational elongation","GO:0005525,GO:0003924,GO:0005886,GO:0005737,GO:0005515,GO:0019901,GO:0003746,GO:0005634,GO:0005829,GO:0005853,GO:0006351,GO:0006412,GO:0006355,GO:0010467,GO:0044267,GO:0006414","GTP binding,GTPase activity,plasma membrane,cytoplasm,protein binding,protein kinase binding,translation elongation factor activity,nucleus,cytosol,eukaryotic translation elongation factor 1 complex,transcription, DNA-templated,translation,regulation of transcription, DNA-dependent,gene expression,cellular protein metabolic process,translational elongation",.
EEF1A2,eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:3192],ENSG00000101210,ENSP00000217182,3,"GTP_EFTU_D2[1],GTP_EFTU_D3[1],GTP_EFTU[1]",family-61,"EEF1A1,EEF1A2",EEF1A1,"EEF1A2[93,92]",tRNA,tRNA/mRNA,established RBP ,.,.,.,.,.,.,"GO:0003746,GO:0008135,GO:0005853,GO:0006414","translation elongation factor activity,translation factor activity, nucleic acid binding,eukaryotic translation elongation factor 1 complex,translational elongation","GO:0005515,GO:0005525,GO:0003924,GO:0003746,GO:0008135,GO:0005634,GO:0005737,GO:0043025,GO:0005853,GO:1900119,GO:0043066,GO:0010035,GO:0006414","protein binding,GTP binding,GTPase activity,translation elongation factor activity,translation factor activity, nucleic acid binding,nucleus,cytoplasm,neuronal cell body,eukaryotic translation elongation factor 1 complex,positive regulation of execution phase of apoptosis,negative regulation of apoptotic process,response to inorganic substance,translational elongation",.
EEF1B2,eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:3208],ENSG00000114942,ENSP00000376056,2,"EF1_GNE[1],EF-1_beta_acid[1]",family-391,"EEF1B2,EEF1D",EEF1B2,"EEF1D[57,20]",tRNA,tRNA/mRNA,established RBP ,.,.,.,.,.,.,"GO:0003746,GO:0005853,GO:0006412,GO:0006414","translation elongation factor activity,eukaryotic translation elongation factor 1 complex,translation,translational elongation","GO:0005515,GO:0003746,GO:0005829,GO:0005853,GO:0006412,GO:0010467,GO:0044267,GO:0006414","protein binding,translation elongation factor activity,cytosol,eukaryotic translation elongation factor 1 complex,translation,gene expression,cellular protein metabolic process,translational elongation",.
EEF1D,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein) [Source:HGNC Symbol;Acc:3211],ENSG00000104529,ENSP00000433611,2,"EF1_GNE[1],EF-1_beta_acid[1]",family-391,"EEF1B2,EEF1D",EEF1B2,"EEF1D[57,20]",tRNA,tRNA/mRNA,"This gene encodes a subunit of the elongation factor-1 complex, which is responsible for the enzymatic delivery of aminoacyl tRNAs to the ribosome. This subunit, delta, functions as guanine nucleotide exchange factor. It is reported that following HIV-1 infection, this subunit interacts with HIV-1 Tat. This interaction results in repression of translation of host cell proteins and enhanced translation of viral proteins. Several alternatively spliced transcript variants encoding multiple isoforms have been found for this gene. Related pseudogenes have been defined on chromosomes 1, 6, 7, 9, 11, 13, 17, 19.[provided by RefSeq, Aug 2010]",.,.,.,.,.,.,"GO:0003746,GO:0008135,GO:0005853,GO:0006412,GO:0006414","translation elongation factor activity,translation factor activity, nucleic acid binding,eukaryotic translation elongation factor 1 complex,translation,translational elongation","GO:0005515,GO:0003677,GO:0004871,GO:0003746,GO:0008135,GO:0005634,GO:0005829,GO:0005853,GO:0006351,GO:0043123,GO:0006412,GO:0006355,GO:0007165,GO:0010467,GO:0044267,GO:0006414","protein binding,DNA binding,signal transducer activity,translation elongation factor activity,translation factor activity, nucleic acid binding,nucleus,cytosol,eukaryotic translation elongation factor 1 complex,transcription, DNA-templated,positive regulation of I-kappaB kinase/NF-kappaB signaling,translation,regulation of transcription, DNA-dependent,signal transduction,gene expression,cellular protein metabolic process,translational elongation",.
EEF1E1,eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:3212],ENSG00000124802,ENSP00000369038,1,GST_C_3[1],family-741,EEF1E1,.,.,tRNA,putative tRNA,"This gene encodes a multifunctional protein that localizes to both the cytoplasm and nucleus. In the cytoplasm, the encoded protein is an auxiliary component of the macromolecular aminoacyl-tRNA synthase complex. However, its mouse homolog has been shown to translocate to the nucleus in response to DNA damage, and it plays a positive role in ATM/ATR-mediated p53 activation. Alternative splicing results in multiple transcript variants. Read-through transcription also exists between this gene and the neighboring downstream MUTED (muted homolog) gene. An EEF1E1-related pseudogene has been identified on chromosome 2. [provided by RefSeq, Dec 2010]",.,.,.,.,.,.,GO:0006418,tRNA aminoacylation for protein translation,"GO:0005634,GO:0005737,GO:0005515,GO:0005829,GO:0008285,GO:0010467,GO:0043065,GO:0006418,GO:0043517","nucleus,cytoplasm,protein binding,cytosol,negative regulation of cell proliferation,gene expression,positive regulation of apoptotic process,tRNA aminoacylation for protein translation,positive regulation of DNA damage response, signal transduction by p53 class mediator",.
